City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
347,Shelburne,CA,60.6,44.0787,-80.2041,The Retreat at the Farm
350,Sao Joao Da Barra,BR,75.29,-21.6403,-41.0511,Pousada Porto De Canoas
352,Clinton,US,67.12,42.587,-82.9199,River's Edge
353,Praia,CV,79.34,14.9215,-23.5087,LT Aparthotel
355,Kudahuvadhoo,MV,81.27,2.6708,72.8944,Niyama Private Islands Maldives
356,Saint George,US,77.59,37.1041,-113.5841,Best Western Plus Abbey Inn
357,Upernavik,GL,35.04,72.7868,-56.1549,Café de Upernavik
358,Yatou,CN,56.7,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
359,Golden,US,74.17,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
360,Urucara,BR,79.72,-2.5364,-57.76,Pousada Maria Bonita
361,West Wendover,US,45.61,40.7391,-114.0733,"Motel 6 Wendover, UT"
362,Pihuamo,MX,69.35,19.2499,-103.3828,Hotel Primavera
363,Moranbah,AU,81.57,-22.0016,148.0466,Property Vine - Monterey Moranbah
364,Aleksandrov Gay,RU,41.77,50.147,48.5704,Gostinitsa
365,Eldorado,BR,64.45,-23.7869,-54.2836,Villa Verde Hotel
366,Shingu,JP,72.79,33.7333,135.9833,Shingu UI Hotel
367,Bubaque,GW,82.92,11.2833,-15.8333,"Casa Dora, Bubaque"
368,Malanje,AO,65.25,-9.5402,16.341,Hotel Ginga
369,Broome,US,53.42,42.2506,-75.833,Chenango Valley State Park
371,Saint Marys,US,68.0,30.7305,-81.5465,Spencer House Inn by Brham
372,Red Bluff,US,73.53,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
373,Adelanto,US,61.7,34.5828,-117.4092,Days Inn Adelanto-Victorville
375,Marsaxlokk,MT,67.08,35.8419,14.5431,Water's Edge
376,Horta,PT,67.01,38.5333,-28.6333,Hotel do Canal | Horta - Faial
377,Wakkanai,JP,44.58,45.4094,141.6739,Hyōsetsu-sō
378,San Ramon,US,70.02,37.7799,-121.978,San Ramon Marriott
379,Inirida,CO,79.86,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
380,Axim,GH,76.84,4.8699,-2.2405,Axim Beach Resort And Spa
381,Gamba,GA,76.6,-2.65,10.0,
383,Rawson,AR,69.6,-43.3002,-65.1023,Hosteria Sampedro
384,Cidreira,BR,63.0,-30.1811,-50.2056,Hotel Castelo
385,Kapuskasing,CA,46.49,49.4169,-82.4331,Park Inn Motel
386,Dunedin,NZ,61.66,-45.8742,170.5036,Scenic Hotel Southern Cross
387,Pisco,PE,62.65,-13.7,-76.2167,Hotel San Isidro Oficial
388,Svetlaya,RU,40.17,46.5389,138.3297,
389,Mount Isa,AU,89.91,-20.7333,139.5,ibis Styles Mt Isa Verona
390,Lakselv,NO,35.42,70.0513,24.9718,Lakselv Hotel
391,Alofi,NU,75.09,-19.0595,-169.9187,Taloa Heights
392,Isangel,VU,82.51,-19.55,169.2667,Tanna Lodge
393,Caravelas,BR,76.59,-17.7125,-39.2481,Pousada dos Navegantes
394,Grand Island,US,71.38,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
395,Saint-Georges,GD,82.08,12.0564,-61.7485,Radisson Grenada Beach Resort
396,Bayji,IQ,70.21,34.9311,43.487,دار الضيافة
397,Launceston,AU,54.16,-41.45,147.1667,Hotel Grand Chancellor Launceston
398,Tessalit,ML,75.31,20.1986,1.0114,
399,Richards Bay,ZA,66.76,-28.783,32.0377,BON Hotel Waterfront Richards Bay
